zero_index,t_value,rank,prime_p,prime_q,impact_score,phase_cos,pair_str
102,239.55547757332764,2,3,5,-0.13181540587453222,-0.9886155440589918,"(3, 5)"
102,239.55547757332764,3,3,11,-0.05897280082149947,-0.9730512135547412,"(3, 11)"
102,239.55547757332764,4,2,13,-0.05092464596935007,-0.6620203976015508,"(2, 13)"
102,239.55547757332764,5,2,17,-0.04904288459783737,-0.8337290381632353,"(2, 17)"
103,241.04915779621658,1,2,3,-0.313391911994185,-0.940175735982555,"(2, 3)"
103,241.04915779621658,2,3,5,-0.109135495129663,-0.8185162134724725,"(3, 5)"
103,241.04915779621658,3,3,7,-0.09517321775820191,-0.99931878646112,"(3, 7)"
103,241.04915779621658,4,2,11,-0.07396011330021086,-0.8135612463023194,"(2, 11)"
103,241.04915779621658,5,3,17,-0.037552293430524186,-0.9575834824783668,"(3, 17)"
104,242.8232719342226,1,2,5,-0.16983609025644186,-0.8491804512822092,"(2, 5)"
104,242.8232719342226,2,2,3,-0.16092024016534479,-0.48276072049603436,"(2, 3)"
104,242.8232719342226,3,2,7,-0.12293305337197973,-0.8605313736038581,"(2, 7)"
104,242.8232719342226,4,2,13,-0.040664156714718104,-0.5286340372913353,"(2, 13)"
104,242.8232719342226,5,5,11,-0.035767274627499686,-0.9836000522562415,"(5, 11)"
105,244.07089849707816,1,2,5,-0.1665407188217141,-0.8327035941085704,"(2, 5)"
105,244.07089849707816,2,2,7,-0.07372967185813757,-0.5161077030069631,"(2, 7)"
105,244.07089849707816,3,3,11,-0.05958641749645322,-0.9831758886914781,"(3, 11)"
105,244.07089849707816,4,2,19,-0.050219789773488926,-0.9541760056962897,"(2, 19)"
105,244.07089849707816,5,2,31,-0.03161538450150141,-0.9800769195465439,"(2, 31)"
106,247.1369900748975,1,2,13,-0.054824188582491266,-0.7127144515723864,"(2, 13)"
106,247.1369900748975,2,2,19,-0.050032461734700356,-0.9506167729593068,"(2, 19)"
106,247.1369900748975,3,3,7,-0.044209545861177264,-0.4642002315423613,"(3, 7)"
106,247.1369900748975,4,3,19,-0.028120272288298543,-0.8014277602165085,"(3, 19)"
106,247.1369900748975,5,5,13,-0.02665962317323781,-0.8664377531302287,"(5, 13)"
